A	ACCELERATION
PGD5	REGION 5 DECEL
PGDD	PROFILE GEN DECELERATION
PGDN	PROFILE DOWN SECTION NUMBER
PGDNEW	NEWLY CALCULATED DECEL VALUE
PGDP	DELTA P
PGDR	DELTA R
PGEND	PROFILE GENERATOR SIGNALS END
PGFLAG	FLAG FOR PROGEN
PGJ2T	REGION 2 JERK VALUE
PGJ4T	REGION 4 JERK VALUE
PGKA	ACCEL REGION COUNTER
PGKA3	INDICATE PASS IN REGION 3
PGKD1	DECEL REGION COUNTERS c1
PGKD2	DECEL REGION COUNTERS c2
PGKD3	DECEL REGION COUNTERS c3
PGKD4	DECEL REGION COUNTERS c4
PGKD5	DECEL REGION COUNTERS c5
PGKD6	DECEL REGION COUNTERS c6
PGND	FSPD  REGION NUMBER
PGO	PREVENT GO
PGR1	PRO GEN REGION 1
PGR2H	PRO GEN REGION 2 (MSW)
PGR2L	PRO GEN REGION 2 (LSW)
PGR3H	PRO GEN REGION 3 (MSW)
PGR3L	PRO GEN REGION 3 (LSW)
PGR4H	PRO GEN REGION 4 (MSW)
PGR4L	PRO GEN REGION 4 (LSW)
PGR5H	PRO GEN REGION 5 (MSW)
PGR5L	PRO GEN REGION 5 (LSW)
PGR6H	PRO GEN REGION 6 (MSW)
PGR6L	PRO GEN REGION 6 (LSW)
PGRH	EXPECTED REMAINING STOP DIS (MSW)
PGRL	EXPECTED REMAINING STOP DIS (LSW)
PGS1	EXPECTED REMAINING ACCEL STOPPING DISTAN
PGSDAH	ACCEL STOPPING DISTANCE (MSB)
PGSDAL	ACCEL STOPPING DISTANCE (LSB)
PGSDDH	DECEL STOPPING DISTANCE (MSB)
PGSDDL	DECEL STOPPING DISTANCE (LSB)
PGSDH	TOTAL STOPPING DISTANCE
PGSDL	TOTAL STOPPING DISTANCE
PGSTRT	PROFILE GENERATOR SIGNALS START
PGU	PROGEN VELOCITY REGION
PGU1	PROGEN VELOCITY REGION 1
PGU2	PROGEN VELOCITY REGION 2
PGU3	PROGEN VELOCITY REGION 3
PGU4	PROGEN VELOCITY REGION 4
PGU5	PROGEN VELOCITY REGION 5
PGU6	PROGEN VELOCITY REGION 6
PGUNEW	NEWLY CALCULATED U
PGUP	DECEL PEAK VELOCITY
PGV	PROGEN VELOCITY
PGV1	PROGEN VELOCITY
PGVNEW	NEWLY CALCULATED V
PGVP	PEAK VEL IN ACCEL REGION
PGXPF	POSITION COMP FACTOR (FRACT)
PGXPW	POSITION COMP FACTOR (WHOLE)
PGXV	XV=V/U
PH	PERMIT HALL CALL
PHL	PERMIT HALL LANTERN FLAG
PHSIND	PHASE PLANE INDICATOR
PHSRTH	PHASE PLANE RATIO
PHSRTL	PHASE PLANE RATIO
PHSTMP	PHASE PLANE TEMPORARY
PI	PARKING INTERVAL (SECS)
PIH	IDEAL CAR POSITION (MSB)
PIH16	PI*16
PIL	IDEAL CAR POSITION (LSB)
PIL16	PI*16
PIOUT1	POS.IND DISPLAY WORD 1
PIOUT2	POS.IND DISPLAY WORD 2
PIOUT3	POS.IND DISPLAY WORD 3
PIXCC1	PI/FSC DATA OVERLAY ARRY
PIXCC2	PI/FSC DATA OVERLAY ARRY
PIXCC3	PI/FSC DATA OVERLAY ARRY
PIXCC4	PI/FSC DATA OVERLAY ARRY
PLC	PARTIALLY LOADED CAR
PLOT	START TO PLOT
POIE	POI RELAY EXCITATION
PORCHK	CHECK CRC ON POR FLAG
POT	POTENTIAL SIGNAL
PPTAIC	A-INDEX COUNTER
PPTBI9	"PPT J,K B INTERRUPT INDICATOR"
PPTCNT	PPT POSITION RETRY INDICATOR
PPTD90	PPT90 DIRECTION WORD (1=UP)
PPTDIR	PPT   DIRECTION WORD (1=UP)
PPTRTY	PPT RECOMPUTE POSITION
PPTSC9	PPT90 SOFTWARE COARSE COUNTS
PPTSCC	PPT   SOFTWARE COARSE COUNTS
PRO	PRIMARY RISER OPERATION
PSCAN	PREVENT SCAN
PSPH	MSB)-SYN FLOOR POS
PSPL	LSB)-SYN FLOOR POS
PTS	PASSENGER TRANSFER SERVICE
PTSDB	BOTTOM TERMINAL SLOWDOWN TABLE
PTSDT	TOP TERMINAL SLOWDOWN TABLE
PWR	POWER
R140	POT c1
R141	POT c2
R142	POT c3
R143	POT c4
R144	POT c5
R145	POT c6
R146	POT c7
RAMEND	RAM END ADDRESS
RAMP	RAMP DICTATION VARIABLE  0 TO 60FPM
RB	RESET BUTTON ( NYC )
RCB	RESET CAR BUTTONS
RCC	REAR CAR CALLS
RCDLL	REAR CAR DOWN LANTERN
RCES	RESET CAR EMERGENCY SERVICE
RCFSC	REAR CAR FLOOR SERVICE CUTOFF WORD 1
RCFSC2	REAR CAR FLOOR SERVICE CUTOFF WORD 2
RCFSC3	REAR CAR FLOOR SERVICE CUTOFF WORD 3
RCFSC4	REAR CAR FLOOR SERVICE CUTOFF WORD 4
RCRV1	REAR DOOR CANCEL REVERSAL 1 GPIO
RCRV2	REAR DOOR CANCEL REVERSAL 2 GPIO
RCS	REAR CAR STOP
RCULL	REAR CAR UP LANTERN
RD	RUN DOWN
RD9	RU IS SET AND MOTION LOGIC STATE>9
RDC	REAR COOR CONTROL
RDCB	REAR DOOR CLOSE BUTTON
RDCBM	REAR DOOR CLOSE BUTTON MAINTENANCE
RDCBO	REAR DOOR CLOSE BUTTON OPTION
RDFC	REAR DOOR FULLY CLOSED
RDFO	REAR DOOR FULLY OPEN
RDHL	REAR DOWN HALL LANTERN
RDHR	REAR DOWN HALL RESET
RDHS	REAR DOWN HALL STOP
RDI	REAR DOOR INTERVAL
RDLC	REAR DELAYED CAR
RDO	REAR DOOR OPEN COMMAND
RDOB	REAR DOOR OPEN BUTTON
RDP	REAR DOOR PROTECTION
RDPTIM	REAR DOOR PROTECTION TIME
RDT	RESET DOOR TIME
RDTIME	REAR DOOR TIMER
RDZ	REAR OPENNING SENSOR
REARDT	REAR DOOR TIME
REP	
REST	ELEVATOR AT REST
RFSC3	REAR FLOOR SEVICE CUTOFF
RFSC4	REAR FLOOR SEVICE CUTOFF
RFSC5	REAR FLOOR SEVICE CUTOFF
RFSC6	REAR FLOOR SEVICE CUTOFF
RFSC7	REAR FLOOR SEVICE CUTOFF
RFSC8	REAR FLOOR SEVICE CUTOFF
RHL	REAR HALL LANTERN
RHR	REAR HALL RESET
RHS	REAR HALL STOP
RHVD	REAR HEAVY DOOR RELAY
RI	RUN INTERVAL
RIDZ	REAR INNER DOOR ZONE
RIDZ1	REAR INNER DOOR ZONE 1
RIDZ2	REAR INNER DOOR ZONE 2
RL	RATE LIMIT
RLC	
RMDP	MEMORY REAR DP
RMDT	REAR MEMORY DOOR TIME
RMHSRV	REAR SAVE FOR MONR
RMLT	REAR MAIN LOBBY TIME
RMMON	REAR TEMP FOR MONR
RMMONT	REAR TEMP FOR MONR
RMONTM	REAR TIMER FOR MONR
RMRVD	REAR TEMP FOR MONR
RNDG	REAR NUDGE
RNDO	REAR NORMAL DOOR OPEN                
RO	RIOT OPERATION
RODZ	REAR OUTER DOOR ZONE
RODZ1	REAR OUTER DOOR ZONE 1
RODZ2	REAR OUTER DOOR ZONE 2
ROPEN	REAR OPENNING FLAG
RPDO	REAR PREVENT DOOR OPEN
RPTS	REAR PTS
RRDT	RESET REAR DT
RRVD	REAR REVERSAL DEVICE
RRVD1	REAR REVERSAL DEVICE 1
RRVD2	REAR REVERSAL DEVICE 2
RSST	REAR STANDING STOP TIME
RSTF	REAR SECONDARY TRANS FAILURE
RTDFO	REAR TEMP STORAGE FOR ECSC
RU	RUN UP
RU9	RU IS SET AND MOTION LOGIC STATE>9
RUHL	REAR UP HALL LANTERN
RUHR	REAR UP HALL RESET
RUHS	REAR UP HALL STOP
RUN	RUN SIGNAL
RUNE	RUN SIGNAL
RVD	DOOR REVERSAL SIGNAL
RVD1	REVERSAL DEVICE 1
RVD2	REVERSAL DEVICE 2
SAFE	ELEVATOR SAFE TO MOVE
SAFETO	SAFE TO OPERATE
SAFSA1	SAVE REGISTER FOR SAFETY
SAFTIM	CAR IN GROUP TIMER
SAMCNT	4051 SAMPLE COUNTER
SAV192	192 MSEC RETURN ADDRESS
SAVMIS	MISC TASK SAVE AREA
SAVR11	SAVE R11 IN POR ROUTINE              
SBF	SPEECH BUFFER IS FULL
SBN	SCANNING BUTTON NUMBER
SC	SPEED CONTROL
SCAI	SPECIAL CONTRACT INITIAL VMAX
SCBA	SCAN CAR BUTTON ABOVE
SCBB	SCAN CAR BUTTON BELOW
SCC	STOPPING CONTROL TEST
SCCB	SET CAR CALL BUTTON ARRAY
SCTS	LATCHED SCT
SDADTP	SAVE DADTRP
SDDSTA	SAVE DDSTAT
SDH	TOTAL STOPPING DISTANCE
SDHR	SECOND DOWN HALL RESET
SDHS	SECOND DOWN HALL STOP
SDIRF	SAVE DIRF
SDL	TOTAL STOPPING DISTANCE
SDZRF	SAVE DOOR ZONE RELAY FAILURE         
SDZTRP	SAVE DZTRP
SEML21	SAVE EMLS21                          
SEMLS1	SAVE EMLS1
SEMLS2	SAVE EMSL2
SEMLS4	SAVE EMLS4
SEMLS8	SAVE  EMLS89
SEPCS	SAVE WORS FOR EPCS
SES	SAVE ES                              
SESC	SAVE ESC
SESDC	SPECIAL EMERGENCY SERVICE DOOR CLOSE
SESLIP	SAVE ESLIPV
SESRET	SPECIAL EMERGENCY SERVICE SIGNAL
SEVF	SAVE EVF
SEXVC	SAVE EXVC
SFCLK1	SAFETY LOGIC TIMER c1
SFCLK2	SAFETY LOGIC TIMER c2
SFR	FLICKERING SIGNAL
SFRTIM	FLICKERING SIGNAL TIMER
SHADT	SELF HEALTH A/D CLEARING TIMER
SHTIMR	SELF HEALTH SHWARN TIMER
SHWARN	S-H WARN FLAG
SKC	SERVICE KEY CLOSE
SKO	SERVICE KEY OPEN
SLACBK	SAVE LACBLK
SLCF	SAVE LCF
SLF	SAFETY INTERLOCK FAILURE
SLFTS	SAFETY LOGIC FIRST TIME SWITCH
SLFTS2	SAFETY LOGIC FIRST TIME SWITCH 2
SMG	START MG
SMODE	STARTING MODE OF RUN
SOS1	SAFETY OPERATING SWITCH 1
SOS2	SAFETY OPERATING SWITCH 2
SP	SYCHRONOUS POSITION
SPC	SYCHRONOUS POSITION
SPCF	SAVE PCF
SPD	PREVENT DISPATCH SIGNAL
SPEP	SELECTED PEP CARS
SPES1B	SAVE PES1B
SPOT	SAVE POT
SR	SEND/RECIEVE COMMUNICATIONS FLAG
SRO	SECOND RISER OPERATION
SS10	SAFETY SWITCH 10
SS11	SAFETY SWITCH 11
SS15	POS SAFETY SWITCH
SS16	POS SAFETY SWITCH
SS9	POS SAFETY SWITCH
SST	STANDING STOP TIME
STACK	RETURN REGISTER STORAGE
STF	SECONDARY TRANSDUCER FAILURE
STFLAG	3 PASS FLAG USED IN STF TESTS
STOP	STOP RELAY                           
STOPE	ENERGIZE STOP RELAY                  
STOPX	AUX STOP
STPT	PLOT BUFFER START ADDRESS
STPT1	BUFFER POINTER
STRTME	TIME SINCE POR
SUHR	SECOND UP HALL RESET
SUHS	SECOND UP HALL STOP
SWAY	BUILDING SWAY
SXSAFE	SAVE XSAFE
SYFAIL	SYSTEM FAILURE FLAG
T1	REAR DOOR TIMER + 1
TAKD	TOP ACCESS KEY SWITCH-DOWN
TAKU	TOP ACCESS KEY SWITCH-UP
TASL	TEMP ALT. SERV. LANDING
TCI	TOP OF CAR INSPECTION
TCI2	BACK CONTACT OF TCI RELAY (NOT USED) 
TCIRS	LATCHED TCIR
TDFO	TEMPORARY DFO
TDIB	TOP OF CAR INSPECTION DOWN BUTTON
TEDLC	TEMP. EMER. DELAYED CAR
TESIB	SIGNAL TESIB 
TGTEH	MSB-TARGET ERROR
TGTEL	LSB-TARGET ERROR
THL	TEMPORARY HALL LANTERN
TIM0	TASK COUNTER ADDRESS 0
TIM12	TASK COUNTER ADDRESS 12
TIM2	TASK COUNTER ADDRESS 2
TIM5	TASK COUNTER ADDRESS 5
TIM6	TASK COUNTER ADDRESS 6
TIM992	TASK COUNTER ADDRESS 992
TL100	TIMED TASK LIST
TL16	TIMED TASK LIST
TL200	TIMED TASK LIST
TL32	TIMED TASK LIST
TL80	TIMED TASK LIST
TL992	TIMED TASK LIST
TM7CNT	TIME AT CONSTANT SPEED IN MODE 7
TO14	RESCUE TIME-OUT (MODE=14)
TPCSDH	"J,K HIGH POSITION WHEN TSD FIRST SET"
TPCSDL	"J,K LOW  POSITION WHEN TSD FIRST SET"
TPL0	TASK PRIORITY LIST 0
TPL1	TASK PRIORITY LIST 1
TPL4	TASK PRIORITY LIST 4
TPL5	TASK PRIORITY LIST 5
TPL6	TASK PRIORITY LIST 6
TPL7	TASK PRIORITY LIST 7
TRHL	TEMP FOR HLR
TRV	TEST REFERENCE VOLTAGE
TS1	MLS 1 TIMER
TS1F	EXCESS TIMER MLS 1 FLAG
TS2	MLS 2  TIMER
TS21	MLS 21 TIMER
TS21F	EXCESS TIME MLS  21 FLAG
TS2F	EXCESS TIME MLS  2  FLAG
TS4	MLS 4  TIMER
TS4F	EXCESS TIME MLS  4  FLAG
TS89	MLS 89 TIMER
TS89F	EXCESS TIME MLS 8+9 FLAG
TSD	TIMED OR TERMINAL SLOWDOWN
TSDPRV	PREVIOS TERMINAL SLOWDOWN FLAG
TSGDS	TIMER FOR DOOR REFUSAL TO CLOSE
TSP	TEMPORARY SYCHRONOUS POSITION
TUIB	TOP OF CAR INSPECTION UP BUTTON
UHL	UP HALL LANTERN
UHR	UP HALL CALL RESET
UHS	UP HALL STOP
UNSFCT	UNSAFE COUNTER FOR SHELTH
UX	RUNNING UP RELAY STATE
UXE	RUNNING UP RELAY EXCITATION
V	VELOCITY
VAD	FORCE ADVANCE DOWN
VAU	FORCE ADVANCE UP
VB	PROGEN VELOCITY
VBU	FORCE BUZZER
VC	CAR VELOCITY
VC1	PREVIOUS 'VC'
VCCNT	VALID VC PASS COUNTER
VCFSC	FORCE CAR FLOOR SERVICE CUTOFF
VCRL	FORCE CAR RETURN TO LOBBY SIGNAL
VCVAL	VALID VC INDICATOR
VDCBO	FORCE DOOR CLOSE BUTTON OPTION
VDLC	FORCE DELAYED CAR
VDO	FORCE DOOR OPEN
VDO1	VD0 + 1
VE	VEL ERROR
VFLG1	VOICE FIRST PASS FLAG 1
VFLG2	VOICE FIRST PASS FLAG 2
VFLG3	VOICE FIRST PASS FLAG 3
VFLG4	VOICE FIRST PASS FLAG 4
VFLG5	VOICE FIRST PASS FLAG 5
VFLG6	VOICE FIRST PASS FLAG 6
VFLG7	VOICE FIRST PASS FLAG 7
VGO	FORCE START
VHD	FORCE HIGHER DEMAND
VI	POS. REF. IDEAL VELOCITY
VINDS	FORCE INDEPENDENT SERVICE
VISWCH	DIRECT DRIVE VOLTAGE CURRENT IND
VLD	FORCE LOWER DEMAND
VLFC	FORCE LIGHT + FAN CONTROL
VM	MACHINE VELOCITY(MSB)
VM1	MACHINE VELOCITY FILTERED
VM1CL	CLAMPED VEL                          
VM1N1	MACHINE VELOCITY FILTERED-PASS
VM1NRM	NORMALIZED CLAMPED VEL               
VMAX	MAXIMUM VELOCITY
VMCLN1	PAST VALUE OF CLAMPED VEL            
VMODE5	S-H FORCE MODE 5 FLAG
VOICEQ	VOICE SYNTHESIZER QUEUE              
VOICQB	VOICE SYNTHESIZER QUEUE BOTTOM       
VOICQT	VOICE SYNTHESIZER QUEUE TOP        
VPCH	PPT OLD DISTANCE (MSW)
VPCH9	"PPT OLD DISTANCE (MSW) J,K TRACK"
VPCL	PPT OLD DISTANCE (LSW)
VPCL9	"PPT OLD DISTANCE (LSW) J,K TRACK"
VPDO	FORCE PREVENT DOOR OPEN
VPSCAN	FORCE PREVENT SCAN
VPTS	FORCE PASSENGER TRANSFER SERVICE
VRCB	FORCE RESET CAR BUTTON
VRCFSC	FORCE REAR FLOOR SERVICE CUTOFF
VRDCBO	FORCE REAR DOOR CLOSE BUTTON
VRDO	FORCE REAR DOOR OPEN
VRDO1	VRDO + 1
VRPDO	FORCE REAR DOOR OPEN
VRPTS	FORCE REAR PTS
VSESDC	FORCE DOORS CLOSED WHEN SES
VTA	PROGEN ACCELERATION
VTD	PROGEN DECELERATION
WATCH	WATCH DOG TIMER COUNTER WATCH DOG
WKN	A REQUEST TO WEAKEN
WL	WARNING LIGHT
WLD	WILD CARD OPERATION
WSTP0	PRIORITY 0 WP
WSTP1	PRIORITY 1 WP
WSTP2	PRIORITY 2 WP
WSTP3	PRIORITY 3 WP
WSTP4	PRIORITY 4 WP
WSTP5	PRIORITY 5 WP
WSTP6	PRIORITY 6 WP
WSTP7	PRIORITY 7 WP
X	MOTOR FIELD MIN/MAX CURRENT
XANS	CANCEL ANTI-NUISANCE
XATTS	CANCEL ATTENDANT SERVICE
XBEP	CANCEL BUILDING EMERGENCY POWER
XCFSC	CANCEL CAR FLOOR SERVICE CUTOFF
XCFSCO	CANCEL CAR FLOOR SERVICE CUTOFF OPERATIO
XCIG	CANCEL CAR IN GROUP
XCRL	CANCEL CAR RETURN TO LOBBY
XDCBO	CANCEL DOOR CLOSE BUTTON OPTION
XDHL	CANCEL DOWN HALL LANTERN
XDLC	CANCEL DELAYED CAR
XDMD14	CANCEL DEMAND FOR MODE 14
XDO	CANCEL DOOR OPERATION
XDP	CANCEL DOOR PROTECTION
XDT	CANCEL DOOR TIME
XEPS	CANCEL EXPRESS PRIORITY SERVICE
XFLC	CANCEL FULLY LOADED CAR
XGO	CANCEL START
XHD	CANCEL HIGHER DEMAND
XHES	CANCEL EMERGENCY SERVICE PHASE II
XHL	CANCEL HALL LANTERN
XHS	CANCEL HALL STOP
XINDS	CANCEL INDEPENDENT SERVICE
XLD	CANCEL LOWER DEMAND
XLFC	CANCEL LIGHT + FAN CONTROL
XMGD	CANCEL MOTOR GENERATOR DEMAND
XMON	CANCEL MONITOR
XNDG	CANCEL DOOR NUDGING
XPDO	CANCEL PREVENT DOOR OPEN
XPH	CANCEL HALL CALL
XPTS	CANCEL PASSENGER TRANSFER SERVICE
XPWR	CANCEL POWER
XRCFSC	CANCEL REAR CAR FLOOR SERVICE CUTOFF
XRDCBO	CANCEL REAR DOOR CLOSE BUTTON OPTION
XRDHL	CANCEL REAR DOWN HALL LANTERN
XRDO	CANCEL REAR DO
XREADT	CANCEL REAR DOOR TIME
XREV1	CANCEL REVERSAL DEVICE c1
XREV2	CANCEL REVERSAL DEVICE c2
XRNDG	CANCEL REAR DOOR NUDGING
XRPTS	CANCEL REAR PASSENGER SERVICE
XRREV1	CANCEL REAR REVERSAL DEVICE c1
XRREV2	CANCEL REAR REVERSAL DEVICE c2
XRRVD	CANCEL REAR REVERSAL
XRUHL	CANCEL REAR UP HALL LANTERN
XRVD	CANCEL REVERSAL
XSAFE	CANCEL SAFE
XSESDC	CANCEL SES DOOR CLOSE
XSKC	CANCEL SERVICE KEY CLOSE
XUHL	CANCEL UP HALL LANTERN
XWKN	INPUT TO MF LAG FILTER
XWLD	CANCEL WILD CAR OPERATION
ZMLST	MLS=0 TIMER
ZPAINT	ZERO POWER AMP INTEGRATOR (IF 1)
