A	ACCELERATION
DCBM	DOOR CLOSE BUTTON MAINTENANCE
DCBO	DOOR CLOSE BUTTON OPTION
DCBP	LATCHED DOOR CLOSE BUTTON
DCC	DECELERATION COMMAND
DCERL	DOOR CONTROL FOR EMERGENCY P+S
DCERL1	DCERL + 1 BYTE
DD	DICTATION COMMAND
DDRSDT	DD RS DELAY TIMER
DDRSST	DD RS DRIVE TIMER
DDRST	DIRECT DRIVE RESET  RELAY
DDRUN	DIRECT DRIVE RUN RELAY
DDSTAT	DIRECT DRIVE STATUS INPUT
DFBIT	DFTIMER BIT
DFC	DOOR FULLY CLOSED
DFCLK	DF TIMER
DFO	DOOR FULLY OPEN
DHL	DOWN HALL LANTERN
DHLF	DOOR HIGH LIMIT FAILURE
DHR	DOWN HALL CALL RESET
DHS	DOWN HALL STOP
DI	DOOR INTERVAL (SELECTABLE)
DIA	LDW BALANCING ERROR (BIAS-IADD)      
DIBK	DICTATED BRAKE CURRENT
DIGF	DICTATED GENERATED FIELD CURRENT
DIMF	DICTATED MOTOR FIELD CURRENT
DIRF	DIRECTION FAILURE INDICTOR
DIRRES	DIRECTION TO GO IN RESCUE MODE
DLC	DELAYED CAR
DLCTIM	DELAYED CAR TIMER
DLLF	DOOR LOW LIMIT FAILURE
DLWDF	OUTPUT OF PI NETWRK (LDW BLNCIN LOOP)
DLWDW	LOW - OUTPUT OF PI  (LDW BLNCIN LOOP)
DLWINF	PAST VALUE OF PI (LDW BLNCING LOOP)
DLWINW	LOW-PAST VALUE OF PI (LDW BLNCING) 
DMAX	MAX DECELERATION
DMD	DEMAND FOR SERVICE
DO	DOOR OPEN
DOAL	DOOR OPEN AT LOBBY
DOB	DOOR OPEN BUTTON
DOGFW	RL VALUE TO ENABLE MF WEAKENING
DOM	MOTOR FIELD FLUX
DORL	DOOR OPEN AT RETURN LANDING
DOVTMP	DIRECT DRIVE OVERTEMP
DP	DOOR PROTECTION
DPAF	DOOR PA FAILURE
DPLW	DEGRADED PROFILE LOAD WEIGHT
DPTIME	DOOR PROTECTION TIMER
DSF	DOOR SYSTEM FAILURE
DSGTIM	DOUBLE STROKE GONG TIMER
DST	DOOR FULLY CLOSED SWITCH
DSTCCT	DST CLOSED COUNTER                  
DSTLST	DST COUNTER FOR LEVELING CONTROL FAILURE
DSTOCT	DST OPEN COUNTER                     
DT	DOOR TIME
DTGH	DISTANCE TO GO (MSW)
DTGL	DISTANCE TO GO (LSW)
DTIME	DOOR TIMER
DU	DIRECTION UP
DUMY	DUMY RAM FOR I/O INPUT
DV111	COMPUTE DV
DVF	FRACTIONAL OUTPUT OF INTEGRATOR
DVINF	PAST FRACTIONAL OUT OF INTEGRATOR
DVINW	PAST WHOLE OUT OF INTEGRATOR
DVM1	COMPUTE DVM1
DVM11	CLAMP DVM1
DVM111	CLAMP DVM
DVMAC	DVM ACCELERATION CLAMP
DVW	WHOLE OUTPUT OF INTEGRATOR
DX	RUNNING DOWN RELAY STATE
DXE	DOWN RUNNING RELAY EXCIT.
DZC	INNER DOOR ZONE PASS COUNTER
DZRF	DOOR ZONE RELAY FAILURE
DZSF	DOOR ZONE SPEED CHECK FAILURE
DZTRP	DOOR ZONE SPEED CIRCUIT HAS TRIPPED
DZVLIM	DOOR ZONE VEL. LIMIT RELAY
EA	ARMATURE VOLTAGE FEEDBACK
EAF	ARMATURE VOLTAGE FILTERED
EARM	ARMATURE VOLTAGE FEEDBACK MODE
ECCB	ERASE CAR CALL BUTTONS ARRAY
ECL	EMERGENCY CAR LIGHT
EDLC	EMERGENCY DELAYED CAR
EDLCTM	EMERGENCY DELAYED CAR TIMER
EES	EES RELAY                           
EESE	ENERGIZE EES RELAY                   
EIP	INTERPOLE VOLTAGE FEEDBACK
ELCLK	ENERGIZING LOGIC CLOCK
ELCLK1	ENERGIZING LOGIC CLOCK
EMLS1	EXCESSIVE TIME IN MLS 1 FLAG
EMLS2	EXCESSIVE TIME SPENT IN MLS  2  FLAG
EMLS21	EXCESSIVE TIME SPENT IN MLS  21 FLAG
EMLS4	EXCESSIVE TIME SPENT IN MLS  4  FLAG
EMLS89	EXCESSIVE TIME SPENT IN MLS 8+9 FLAG
EOA	END OF ACCELERATION FLAG
EOD	END OF DECELERATION FLAG
EP	EMERGENCY POWER
EPSL	EMERGENCY PRIORITY SERVICE LIGHT
EPSR	EPS RESET
ERL	EMERGENCY RETURN TO LOBBY
ES	EMERGENCY STOP
ES1	ES1=ES+1
ESC	EMERGENCY STOP CONTROL
ESEN	END OF LIST
ESF	EMERGENCY STOP FLAG
ESLIPV	XXX FLAG
ESLPCT	ESLIPV COUNTER
ETAK	TACHOMETER MODE
EVF	EXCESSIVE TRACKING LOOP FAILURE
EXVC	EXCESSIVE VC FLAG
EXVCNT	EXCESSIVE VC COUNTER
EZ	EXPRESS ZONE
FCFSC	FRONT CAR FLOOR SERVICE CUTOFF WORD 1
FCFSC2	FRONT CAR FLOOR SERVICE CUTOFF WORD 2
FCFSC3	FRONT CAR FLOOR SERVICE CUTOFF WORD 3
FCFSC4	FRONT CAR FLOOR SERVICE CUTOFF WORD 4
FD	FURTHER DEMAND
FDL	FURTHER DEMAND LIGHT
FDO	FORCE DOOR OPEN
FDP	PPT   FINE DOWN COUNTS (MSB)
FDP90	PPT90 FINE DOWN COUNTS (MSB)
FDP9LB	PT90  FINE DOWN COUNTS (LSB)
FDPLSB	PPT   FINE DOWN COUNTS (MSB)
FDZ	FRONT OPENNING SENSOR
FLC	FULLY LOADED CAR
FLRTME	COMPUTED FLOOR TIME                  
FLW	FULL LOAD WEIGHING
FOPEN	FRONT OPENNING FLAG
FPFLAG	FIRST PASS AFTER POR FLAG
FRCB	FORCE RESET CAR BUTTONS
FSCI	FSC/PI DATA SWITCH
